transaction_id,transaction_date,customer_id,product_name,quantity,price,payment_method,transaction_status,total_value,order_size,transaction_year,transaction_month,high_value_transaction
T0728,2022-10-02,C718,coffee mach,3.0,525.3792688,paypal,completed,1576.1378064,regular,2022.0,10.0,False
T0734,2022-03-03,C3468,tablet,803.0,452.1328396,credit card,completed,363062.6701988,bulk,2022.0,3.0,True
T0744,2020-01-05,C219,tablet,9.0,50.69536204,credit card,completed,456.25825836,regular,2020.0,1.0,False
T0745,2022-06-02,C4787,l,917.0,525.3792688,pay pal,pending,481772.7894896,bulk,2022.0,6.0,True
T0749,2023-03-11,C3051,coffee machine,1.0,532.7818237,credit card,pending,532.7818237,regular,2023.0,3.0,False
T0766,2022-08-09,unknown,headphones,5.0,320.4886708,credit card,completed,1602.443354,regular,2022.0,8.0,False
T0767,2021-06-03,C3584,headphones,6.0,666.0085284,pay pal,pending,3996.0511704,regular,2021.0,6.0,True
T0773,2021-02-01,C2637,tablet,6.0,525.3792688,creditcard,unknown,3152.2756128,regular,2021.0,2.0,True
T0780,2023-09-01,C3617,headphones,7.0,677.8973458,paypal,failed,4745.2814206,regular,2023.0,9.0,True
T0781,2022-03-03,C3082,tablet,6.0,525.3792688,paypal,failed,3152.2756128,regular,2022.0,3.0,True
T0798,2022-08-02,C4215,coffee machine,3.0,528.7733842,creditcard,failed,1586.3201526,regular,2022.0,8.0,False
T0807,2023-10-02,C3438,headphones,10.0,188.1235267,cash,unknown,1881.235267,regular,2023.0,10.0,False
T0814,2021-11-12,C745,headphones,6.0,525.3792688,paypal,completed,3152.2756128,regular,2021.0,11.0,True
T0815,2021-03-09,C2164,tablet,407.0,385.5678724,cash,completed,156926.1240668,bulk,2021.0,3.0,True
T0825,2022-05-06,C2309,coffee machine,6.0,785.0729814,credit card,unknown,4710.4378884,regular,2022.0,5.0,True
T0838,2024-03-05,C3095,coffee mac,6.0,291.6173331,cash,complete,1749.7039986,regular,2024.0,3.0,False
T0867,2024-09-11,C3206,smartphone,536.0,890.64,pay pal,completed,477383.04,bulk,2024.0,9.0,True
T0870,2022-04-08,C1895,tablet,558.0,525.3792688,credit card,completed,293161.63199039997,bulk,2022.0,4.0,True
T0879,2024-12-12,C1064,tablet,901.0,525.3792688,paypal,failed,473366.7211888,bulk,2024.0,12.0,True
T0883,2024-11-08,C4474,smartphone,2.0,525.3792688,credit card,completed,1050.7585376,regular,2024.0,11.0,False
T0892,2023-07-10,C1702,tablet,850.0,748.8996735,cash,unknown,636564.722475,bulk,2023.0,7.0,True
T0897,2021-10-12,C314,headphones,659.0,525.3792688,paypal,pending,346224.9381392,bulk,2021.0,10.0,True
T0905,2023-04-03,C1301,smartphone,960.0,525.3792688,cash,failed,504364.09804799996,bulk,2023.0,4.0,True
T0910,2020-07-02,C2757,headphones,2.0,525.3792688,creditcard,unknown,1050.7585376,regular,2020.0,7.0,False
T0919,2024-05-08,C4978,smartphone,7.0,115.4829993,paypal,unknown,808.3809951000001,regular,2024.0,5.0,False
T0922,2024-09-09,C4518,tablet,7.0,525.3792688,creditcard,complete,3677.6548816,regular,2024.0,9.0,True
T0947,2022-10-09,C2432,headphones,270.0,525.3792688,cash,completed,141852.402576,bulk,2022.0,10.0,True
T0954,2022-03-06,C1930,laptop,866.0,421.5137794,creditcard,completed,365030.93296039995,bulk,2022.0,3.0,True
T0969,2022-12-07,C200,smartphone,8.0,992.1565654,paypal,complete,7937.2525232,regular,2022.0,12.0,True
T0987,2022-08-04,C3803,headphones,5.0,636.8130734,cash,complete,3184.065367,regular,2022.0,8.0,True
T0991,2023-07-07,C1614,coffee machine,9.0,525.3792688,creditcard,completed,4728.4134192,regular,2023.0,7.0,True
T1007,2024-08-10,C538,coffee machine,697.0,525.3792688,cash,pending,366189.3503536,bulk,2024.0,8.0,True
T1014,2024-11-09,C1914,laptop,4.0,525.3792688,credit card,completed,2101.5170752,regular,2024.0,11.0,True
T1020,2020-09-12,C4660,headphones,4.0,323.6198022,credit card,failed,1294.4792088,regular,2020.0,9.0,False
T1025,2022-04-08,C3665,tablet,6.0,728.4135964,paypal,completed,4370.4815784,regular,2022.0,4.0,True
T1035,2023-11-04,C1503,tablet,322.0,804.0855894,paypal,failed,258915.5597868,bulk,2023.0,11.0,True
T1036,2021-06-09,C1804,tablet,4.0,566.0542765,paypal,complete,2264.217106,regular,2021.0,6.0,True
T1048,2020-02-09,C3251,headphones,9.0,525.3792688,creditcard,pending,4728.4134192,regular,2020.0,2.0,True
T1058,2020-03-10,C3055,smartphone,6.0,525.3792688,credit card,pending,3152.2756128,regular,2020.0,3.0,True
T1067,2022-07-08,C590,tablet,6.0,771.7371232,pay pal,unknown,4630.4227392,regular,2022.0,7.0,True
T1114,2023-08-02,C2463,coffee machine,4.0,262.9637335,paypal,unknown,1051.854934,regular,2023.0,8.0,False
T1128,2021-06-03,C3808,headphones,634.0,474.95,credit card,complete,301118.3,bulk,2021.0,6.0,True
T1133,2022-06-07,C3797,headphones,266.0,531.245258,credit card,unknown,141311.23862800002,bulk,2022.0,6.0,True
T1143,2024-11-08,C1763,tablet,4.0,770.7636944,credit card,complete,3083.0547776,regular,2024.0,11.0,True
T1151,2020-01-11,C859,tablet,4.0,275.45,pay pal,pending,1101.8,regular,2020.0,1.0,False
T1155,2022-03-03,C3109,headphones,8.0,671.3427192,pay pal,pending,5370.7417536,regular,2022.0,3.0,True
T1158,2022-06-08,C2490,tabl,199.0,525.3792688,credit card,complete,104550.4744912,bulk,2022.0,6.0,True
T1160,2023-06-07,C3916,headphones,5.0,525.3792688,credit card,unknown,2626.8963439999998,regular,2023.0,6.0,True
T1167,2021-12-05,C738,laptop,302.0,525.3792688,pay pal,unknown,158664.5391776,bulk,2021.0,12.0,True
T1178,2021-02-06,C2892,laptop,4.0,573.8003544,credit card,unknown,2295.2014176,regular,2021.0,2.0,True
T1182,2022-01-02,C1619,tablet,6.0,504.1527029,pay pal,pending,3024.9162174000003,regular,2022.0,1.0,True
T1185,2023-11-11,C3929,smartphone,298.0,525.3792688,pay pal,complete,156563.0221024,bulk,2023.0,11.0,True
T1188,2023-01-12,C2254,t,2.0,411.04,credit card,complete,822.08,regular,2023.0,1.0,False
T1223,2022-07-12,C363,tablet,714.0,525.3792688,paypal,complete,375120.7979232,bulk,2022.0,7.0,True
T1260,2021-05-02,C2087,laptop,9.0,525.3792688,credit card,complete,4728.4134192,regular,2021.0,5.0,True
T1290,2023-08-07,C2720,laptop,1.0,525.3792688,credit card,pending,525.3792688,regular,2023.0,8.0,False
T1311,2021-04-10,C1550,laptop,10.0,673.0732626,cash,failed,6730.732626,regular,2021.0,4.0,True
T1316,2023-12-05,C1417,coffee machine,5.0,525.3792688,creditcard,complete,2626.8963439999998,regular,2023.0,12.0,True
T1324,2022-12-09,C4463,coffee machine,6.0,455.8093139,credit card,failed,2734.8558834,regular,2022.0,12.0,True
T1333,2020-03-01,C4647,tablet,8.0,150.2387002,credit card,completed,1201.9096016,regular,2020.0,3.0,False
T1334,2024-08-08,unknown,smartphone,3.0,525.3792688,paypal,completed,1576.1378064,regular,2024.0,8.0,False
T1339,2023-04-03,C2014,coffee machine,10.0,459.9927004,pay pal,unknown,4599.927004,regular,2023.0,4.0,True
T1341,2024-12-03,C3636,tab,746.0,58.3322253,paypal,unknown,43515.8400738,bulk,2024.0,12.0,True
T1344,2022-10-12,C2451,coffee machine,5.0,977.7935996,paypal,complete,4888.967998,regular,2022.0,10.0,True
T1346,2020-07-03,C3812,laptop,888.0,97.37939718,cash,completed,86472.90469584,bulk,2020.0,7.0,True
T1354,2024-02-01,C3043,laptop,2.0,860.1755367,paypal,failed,1720.3510734,regular,2024.0,2.0,False
T1355,2024-03-07,C3036,tablet,5.0,668.396082,creditcard,completed,3341.98041,regular,2024.0,3.0,True
T1384,2023-09-11,C4762,tablet,901.0,381.2754085,pay pal,unknown,343529.1430585,bulk,2023.0,9.0,True
T1397,2024-07-04,C907,smartphone,1.0,525.3792688,paypal,complete,525.3792688,regular,2024.0,7.0,False
T1406,2021-08-10,C2145,headphones,6.0,507.292417,creditcard,pending,3043.754502,regular,2021.0,8.0,True
T1408,2022-11-07,C4160,smartphone,568.0,525.3792688,creditcard,completed,298415.4246784,bulk,2022.0,11.0,True
T1410,2020-04-03,C1979,headphones,254.0,525.3792688,cash,pending,133446.3342752,bulk,2020.0,4.0,True
T1427,2021-01-07,C664,laptop,8.0,470.9666581,creditcard,complete,3767.7332648,regular,2021.0,1.0,True
T1458,2020-08-12,C3261,headphones,10.0,360.2395611,paypal,completed,3602.395611,regular,2020.0,8.0,True
T1477,2024-11-01,C1540,smartphone,528.0,525.3792688,credit card,completed,277400.2539264,bulk,2024.0,11.0,True
T1494,2022-05-08,C4503,coffee machine,164.0,525.3792688,paypal,pending,86162.20008319999,bulk,2022.0,5.0,True
T1505,2024-12-11,C3427,t,195.0,525.3792688,credit card,completed,102448.95741599999,bulk,2024.0,12.0,True
T1512,2020-03-09,C4838,tablet,886.0,525.3792688,paypal,unknown,465486.0321568,bulk,2020.0,3.0,True
T1527,2023-03-12,C3846,laptop,9.0,965.4949304,creditcard,completed,8689.4543736,regular,2023.0,3.0,True
T1530,2024-01-07,C2292,tablet,1.0,455.1885071,cash,complete,455.1885071,regular,2024.0,1.0,False
T1541,2024-09-04,C4694,tablet,6.0,571.4295067,credit card,completed,3428.5770402000003,regular,2024.0,9.0,True
T1553,2022-02-05,unknown,headphones,1.0,525.3792688,cash,complete,525.3792688,regular,2022.0,2.0,False
T1561,2021-08-03,C3431,smartphone,128.0,525.3792688,cash,completed,67248.5464064,bulk,2021.0,8.0,True
T1564,2022-09-12,C1748,tablet,10.0,237.4094635,credit card,failed,2374.094635,regular,2022.0,9.0,True
T1572,2022-11-11,C187,tablet,8.0,525.3792688,paypal,complete,4203.0341504,regular,2022.0,11.0,True
T1578,2020-11-06,C4259,coffee machine,7.0,152.5900669,credit card,pending,1068.1304683,regular,2020.0,11.0,False
T1583,2023-12-12,C1844,tablet,7.0,865.5067042,paypal,completed,6058.5469293999995,regular,2023.0,12.0,True
T1584,2024-10-11,C2422,laptop,10.0,525.3792688,credit card,unknown,5253.7926879999995,regular,2024.0,10.0,True
T1601,2023-03-09,C1182,smartphone,8.0,512.8715472,credit card,completed,4102.9723776,regular,2023.0,3.0,True
T1602,2023-04-05,C2861,coffee machine,10.0,525.3792688,credit card,pending,5253.7926879999995,regular,2023.0,4.0,True
T1607,2020-06-06,C3107,coffee machine,4.0,247.747645,creditcard,pending,990.99058,regular,2020.0,6.0,False
T1614,2021-09-10,C2889,coffee machine,3.0,525.3792688,credit card,completed,1576.1378064,regular,2021.0,9.0,False
T1624,2024-01-07,C508,coffee machine,7.0,743.5578271,cash,completed,5204.9047897,regular,2024.0,1.0,True
T1627,2024-03-11,unknown,smartphone,2.0,715.7305676,paypal,failed,1431.4611352,regular,2024.0,3.0,False
T1634,2020-09-01,C3622,tablet,750.0,244.970591,credit card,unknown,183727.94325,bulk,2020.0,9.0,True
T1636,2023-04-07,C850,smartphone,2.0,234.6700719,paypal,unknown,469.3401438,regular,2023.0,4.0,False
T1637,2024-12-01,C199,coffee machine,727.0,765.1625217,creditcard,completed,556273.1532758999,bulk,2024.0,12.0,True
T1638,2021-03-07,C034,headphones,9.0,378.3559284,creditcard,unknown,3405.2033555999997,regular,2021.0,3.0,True
T1648,2022-07-07,C1487,smartphone,2.0,347.5766698,creditcard,completed,695.1533396,regular,2022.0,7.0,False
T1659,2020-06-07,C3348,smartphone,1.0,525.3792688,creditcard,complete,525.3792688,regular,2020.0,6.0,False
T1671,2021-04-01,unknown,headp,8.0,629.9291314,credit card,failed,5039.4330512,regular,2021.0,4.0,True
T1678,2024-03-06,C951,smartphone,125.0,525.3792688,credit card,completed,65672.4086,bulk,2024.0,3.0,True
T1683,2021-06-04,C1092,laptop,3.0,525.3792688,creditcard,failed,1576.1378064,regular,2021.0,6.0,False
T1701,2020-03-06,C3104,laptop,5.0,629.7607832,credit card,unknown,3148.803916,regular,2020.0,3.0,True
T1702,2020-09-01,C2972,laptop,6.0,902.7673942,creditcard,pending,5416.6043652,regular,2020.0,9.0,True
T1705,2020-02-06,C881,coffee machine,7.0,525.3792688,pay pal,complete,3677.6548816,regular,2020.0,2.0,True
T1712,2021-02-01,C1520,tablet,2.0,515.57,credit card,unknown,1031.14,regular,2021.0,2.0,False
T1727,2021-11-01,C2735,tablet,574.0,105.5278597,creditcard,failed,60572.9914678,bulk,2021.0,11.0,True
T1738,2024-01-09,C2120,smartphone,6.0,525.3792688,cash,unknown,3152.2756128,regular,2024.0,1.0,True
T1744,2022-10-10,C2514,headphones,6.0,326.95,cash,completed,1961.6999999999998,regular,2022.0,10.0,False
T1753,2020-11-06,C2540,tablet,1.0,694.7873934,credit card,complete,694.7873934,regular,2020.0,11.0,False
T1759,2022-08-08,C1897,headphones,472.0,628.0621906,creditcard,completed,296445.3539632,bulk,2022.0,8.0,True
T1769,2020-08-02,C2507,tablet,4.0,111.468464,credit card,pending,445.873856,regular,2020.0,8.0,False
T1789,2023-11-04,C585,coffee machine,815.0,821.5419639,credit card,unknown,669556.7005785,bulk,2023.0,11.0,True
T1823,2020-03-04,C2661,coffee machine,630.0,525.3792688,pay pal,complete,330988.939344,bulk,2020.0,3.0,True
T1824,2020-12-11,C2745,coffee machine,3.0,624.9672645,cash,unknown,1874.9017935000002,regular,2020.0,12.0,False
T1829,2024-02-11,C4048,smartphone,200.0,716.579875,pay pal,pending,143315.975,bulk,2024.0,2.0,True
T1834,2024-07-06,C278,laptop,775.0,931.6308077,paypal,unknown,722013.8759675,bulk,2024.0,7.0,True
T1844,2020-10-10,C3449,smartphone,3.0,79.15401995,cash,pending,237.46205985,regular,2020.0,10.0,False
T1854,2024-10-02,C4894,laptop,7.0,525.3792688,paypal,complete,3677.6548816,regular,2024.0,10.0,True
T1856,2022-05-04,C146,laptop,710.0,761.7984802,paypal,failed,540876.920942,bulk,2022.0,5.0,True
T1860,2020-04-01,C3853,smartphone,9.0,525.3792688,paypal,unknown,4728.4134192,regular,2020.0,4.0,True
T1863,2023-04-10,C3356,headphones,432.0,62.08412893,cash,completed,26820.34369776,bulk,2023.0,4.0,True
T1864,2024-06-03,C4234,headphones,4.0,525.3792688,paypal,complete,2101.5170752,regular,2024.0,6.0,True
T1865,2021-02-07,unknown,tablet,6.0,525.3792688,creditcard,pending,3152.2756128,regular,2021.0,2.0,True
T1875,2024-12-12,C2378,tablet,294.0,73.76991397,pay pal,completed,21688.354707180002,bulk,2024.0,12.0,True
T1882,2023-04-12,C1051,smartphone,1.0,541.5701234,cash,failed,541.5701234,regular,2023.0,4.0,False
T1895,2020-09-07,C962,headphones,169.0,334.1139633,creditcard,pending,56465.259797700004,bulk,2020.0,9.0,True
T1896,2022-11-02,C2830,laptop,2.0,525.3792688,paypal,completed,1050.7585376,regular,2022.0,11.0,False
T1899,2022-05-09,C2406,tablet,1.0,818.5581479,credit card,completed,818.5581479,regular,2022.0,5.0,False
T1901,2023-04-11,C3335,coffee machine,969.0,937.0916474,paypal,completed,908041.8063306,bulk,2023.0,4.0,True
T1911,2024-10-04,C1664,smartphone,1.0,321.1027047,credit card,completed,321.1027047,regular,2024.0,10.0,False
T1940,2024-12-03,C1553,coffee machine,647.0,772.6483504,credit card,complete,499903.4827088,bulk,2024.0,12.0,True
T1951,2024-04-09,C4502,laptop,716.0,306.8371536,credit card,pending,219695.4019776,bulk,2024.0,4.0,True
T1956,2024-12-05,C1186,coffee machine,447.0,525.3792688,creditcard,pending,234844.5331536,bulk,2024.0,12.0,True
T39985,2023-04-03,C4697,coffee machine,5.0,525.3792688,paypal,unknown,2626.8963439999998,regular,2023.0,4.0,True
T1977,2020-09-11,C314,tablet,240.0,520.3670215,paypal,unknown,124888.08515999999,bulk,2020.0,9.0,True
T1982,2023-11-05,C2421,laptop,10.0,525.3792688,paypal,completed,5253.7926879999995,regular,2023.0,11.0,True
T1997,2020-05-07,C1818,headphones,7.0,525.3792688,paypal,completed,3677.6548816,regular,2020.0,5.0,True
T2002,2024-01-10,C207,coffee machine,4.0,525.3792688,cash,complete,2101.5170752,regular,2024.0,1.0,True
T2003,2022-12-04,C1355,laptop,10.0,593.0877838,paypal,pending,5930.877838,regular,2022.0,12.0,True
T2012,2023-02-01,C338,hea,6.0,525.3792688,pay pal,completed,3152.2756128,regular,2023.0,2.0,True
T2018,2024-09-10,C3486,tablet,7.0,513.3595004,credit card,unknown,3593.5165028,regular,2024.0,9.0,True
T2019,2023-04-03,C2303,tablet,971.0,510.9,pay pal,completed,496083.89999999997,bulk,2023.0,4.0,True
T2026,2022-10-08,C3217,headphones,162.0,525.3792688,paypal,complete,85111.4415456,bulk,2022.0,10.0,True
T2028,2020-02-04,C4887,coffee machine,300.0,263.8098086,paypal,pending,79142.94258,bulk,2020.0,2.0,True
T2031,2023-11-12,C886,tablet,2.0,525.3792688,cash,unknown,1050.7585376,regular,2023.0,11.0,False
T5456,2022-01-11,C1548,tablet,530.0,706.4750815,paypal,pending,374431.793195,bulk,2022.0,1.0,True
T2037,2024-07-11,unknown,laptop,6.0,525.3792688,pay pal,completed,3152.2756128,regular,2024.0,7.0,True
T2047,2021-12-10,C4009,coffee machine,127.0,182.0355392,cash,complete,23118.5134784,bulk,2021.0,12.0,True
T2068,2024-11-05,C1509,laptop,305.0,689.46,paypal,pending,210285.30000000002,bulk,2024.0,11.0,True
T2081,2021-02-09,C2204,hea,808.0,488.6183891,credit card,failed,394803.6583928,bulk,2021.0,2.0,True
T2083,2020-08-07,C3972,tablet,3.0,505.1599321,credit card,completed,1515.4797963,regular,2020.0,8.0,False
T2093,2024-02-07,C3173,tablet,6.0,525.3792688,credit card,complete,3152.2756128,regular,2024.0,2.0,True
T2108,2021-10-07,C308,laptop,2.0,510.6090629,creditcard,complete,1021.2181258,regular,2021.0,10.0,False
